"1_HASH","2_REFACTORINGTYPE","3_OCORRIDO"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","CHANGE_ATTRIBUTE_TYPE","Change Attribute Type Change Attribute Type	userEmail : List<String> to userEmail : String in class com.mycompany.testerefactoringminer2.v.SalvarDados"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","CHANGE_RETURN_TYPE","Change Return Type Change Return Type	List<String> to String in method public getUserEmail() : String from class com.mycompany.testerefactoringminer2.v.SalvarDados"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	userEmail : List<String> to userEmail : String in method public SalvarDados(hash String  data String  qntRefatoracoes int  qntComentarios int  userEmail String) from class com.mycompany.testerefactoringminer2.v.SalvarDados"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","CHANGE_PARAMETER_TYPE","Change Parameter Type Change Parameter Type	userEmail : List<String> to userEmail : String in method public setUserEmail(userEmail String) : void from class com.mycompany.testerefactoringminer2.v.SalvarDados"
